-------------------------------------------------------------------------
DISCO
-------------------------------------------------------------------------
codigo;titulo;artista;pais;compania;precio;anio
-----------------------------------------------
100;Empire Burlesque;Bob Dylan;US;Columbia;10.90;1985
101;Hide your heart;Bonnie Tyler;GB;CBS Records;9.90;1988
102;Grandes Exitos;Dolly Parton Sheep;PT;RCA;8.90;2014
103;Still got the blues;Gary Moore;GB;Virgin records;10.20;1990
104;Eros;Eros Ramazzotti;DE;BMG;9.90;1997
105;One night only;Bee Gees;GB;Polydor;10.90;1998
106;Sylvias Mother;Dr.Hook;GB;CBS;8.10;1973
107;Maggie May;Rod Stewart;GB;Pickwick;8.50;1990
108;Romanza;Andrea Bocelli;DE;Polydor;10.80;1996
109;When a man loves a woman;Percy Sledge;US;Atlantic;8.70;1987
110;Black angel;Savage Rose;DE;Mega;10.90;1995
111;1999 Grammy Nominees;Many;US;Grammy;10.20;1999
112;For the good times;Kenny Rogers;GB;Mucik Master;8.70;1995
113;Big Willie style;Will Smith;US;Columbia;9.90;1997
114;Tupelo Honey;Van Morrison;GB;Polydor;8.20;1971
115;Soulsville;Jorn Hoel;NO;WEA;7.90;1996
116;The very best of;Cat Stevens;GB;Island;8.90;1990
117;Stop;Sam Brown;GB;A and M;8.90;1988
120;Bridge of Spies;T'Pau;GB;Siren;7.90;1987
121;Private Dancer;Tina Turner;GB;Capitol;8.90;1983
125;Pavarotti Gala Concert;Luciano Pavarotti;GB;DECCA;9.90;1991
126;The dock of the bay;Otis Redding;US;Atlantic;7.90;1987
500;abd;cdf;ES;aaaaa;\N;\N
1000;The Dark Side of the Moon;Pink Floyd;GB;Estudios Abbey Road;15.90;1973
1030;Unchain my heart;Joe Cocker;US;EMI;8.20;1987
1122;Midt om natten;Kim Larsen;DE;Medley;7.80;1983
1127;Picture book;Simply Red;DE;Elektra;7.20;1985
1129;Red;The Communards;GB;London;7.80;1987
