cod;codPostal;nomCalle
_________________________
1;01001;ABREVADERO
2;01001;ALBERCA VIEJA,Callejon
3;01001;ANORBIN DE,Canton
4;01001;ARQUILLOS,Escaleras
5;01001;ARQUILLOS,Pasealekua
6;01001;BARRANCAL
7;01001;BRULLERIA,Plaza
8;01001;BUENO MONREAL
9;01001;CARNICERIAS,Canton
10;01001;CERCAS BAJAS
11;01001;CHIQUITA
12;01001;COLEGIO SAN PRUDENCIO
13;01001;CORRERIA
14;01001;CUBO
15;01001;CUCHILLERIA
16;01001;DIPUTACION
17;01001;ESCUELAS, LAS
18;01001;ESPAÑA,Plaza
19;01001;FRAY ZACARIAS MARTINEZ
20;01001;FUENTE DE LOS PATOS,Plazuela
21;01001;FUEROS   (Impares del 1 al 5)  (Pares del 2 al 4)
22;01001;FUNDADORA DE LAS SIERVAS DE JESUS
23;01001;GASTEIZ   (Impares del 1 al final)  (Pares del 2 al final)
24;01001;HERRERIA
25;01001;LEHENDAKARI AGUIRRE
26;01001;MACHETE,Escaleras
27;01001;MACHETE,Plaza
28;01001;MARQUES DE ESTELLA
29;01001;MARQUES DE LA ALAMEDA,Plaza
30;01001;MATEO BENIGNO MORAZA
31;01001;NUESTRA SEÑORA DEL CABELLO
32;01001;NUEVA DENTRO
33;01001;NUEVA FUERA
34;01001;OLAGUIBEL   (Impares del 1 al 15)  (Pares del 2 al 12)
35;01001;PEDRO EGAÑA
36;01001;PINTORERIA
37;01001;POSTAS   (Impares del 1 al 9)  (Pares del 2 al 34)
38;01001;POSTAS,Pasaje (Impares del 1 al final)  (Pares del 2 al final)
39;01001;PROVINCIA,Plaza
40;01001;REY DEL,Portal
41;01001;REY, DEL,Portal
42;01001;SAN BARTOLOME,Escalas
43;01001;SAN FRANCISCO,Cuesta
44;01001;SAN FRANCISCO
45;01001;SAN FRANCISCO JAVIER,Canton
46;01001;SAN IGNACIO DE LOYOLA
47;01001;SAN ILDEFONSO
48;01001;SAN MARCOS,Canton
49;01001;SAN PEDRO,Pasaje
50;01001;SAN ROQUE,Canton
51;01001;SAN VICENTE,Cuesta
52;01001;SAN VICENTE DE PAUL
53;01001;SANTA ANA,Canton
54;01001;SANTA MARIA,Plaza
55;01001;SANTA MARIA,Canton
56;01001;SANTA MARIA
57;01001;SANTO DOMINGO   (Impares del 1 al final)  (Pares del 2 al final)
58;01001;SEMINARIO VIEJO,Canton
59;01001;SOCIEDAD VASCONGADA
60;01001;SOLEDAD,Canton
61;01001;TORNO, EL
62;01001;VILLASUSO,Plaza
63;01001;VIRGEN BLANCA,Plaza
64;01001;ZAPATERIA
65;01002;AMIZKARRA
66;01002;ANDALUCIA   (Impares del 27 al final)  (Pares del 28 al final)
67;01002;ANGLO VASCO
68;01002;ARANA
69;01002;ARRIETA,Plaza
