Cod;CodProvincia;CodPostal;nomLocalidad
1;01;01001;Vitoria-Gasteiz
2;01;01002;Vitoria-Gasteiz
3;01;01003;Vitoria-Gasteiz
4;01;01004;Vitoria-Gasteiz
5;01;01005;Vitoria-Gasteiz
6;01;01006;Vitoria-Gasteiz
7;01;01007;Vitoria-Gasteiz
8;01;01008;Vitoria-Gasteiz
9;01;01009;Vitoria-Gasteiz
10;01;01010;Vitoria-Gasteiz
11;01;01012;Vitoria-Gasteiz
12;01;01013;Vitoria-Gasteiz
13;01;01015;Vitoria-Gasteiz
14;01;01070;Vitoria-Gasteiz
15;01;01071;Vitoria-Gasteiz
16;01;01080;Vitoria-Gasteiz
17;01;01007;ARMENTIA
18;01;01010;ALI
19;01;01010;EHARI
20;01;01013;ABETXUKO
21;01;01013;ARRIAGA
22;01;01013;BETOÑO
23;01;01013;GAMARRA MAYOR
24;01;01013;GAMARRA NAGUSIA
25;01;01110;CAMPEZO
26;01;01110;KANPEZU
27;01;01110;SANTA CRUZ DE CAMPEZO-SANTIKURUTZE KANPEZU
28;01;01117;ALDA
29;01;01117;DONE BIKENDI HARANA
30;01;01117;HARANA
31;01;01117;KONTRASTA
32;01;01117;ORBISO
33;01;01117;OTEO
34;01;01117;SAN VICENTE DE ARANA
35;01;01117;ULLIBARRI-ARANA
36;01;01117;URIBARRI-HARANA
37;01;01117;VALLE DE ARANA
38;01;01118;ANGOSTINA
39;01;01118;BERNEDO
40;01;01118;LAGRAN
41;01;01118;NAVARRETE
42;01;01118;URTURI
43;01;01118;VILLAFRIA
44;01;01118;VILLAVERDE
45;01;01120;ARRAIA-MAEZTU
46;01;01120;MAESTU
47;01;01128;ANTOÑANA
48;01;01128;ATAURI
49;01;01128;AZAZETA
50;01;01128;BERROZI
51;01;01128;BUJANDA
52;01;01128;DURRUMA KANPEZU
53;01;01128;KINTANA
54;01;01128;SAN ROMAN DE CAMPEZO
55;01;01129;ALETXA
56;01;01129;APELLANIZ
57;01;01129;APINANIZ
58;01;01129;AREATZA
59;01;01129;ARENAZA
60;01;01129;BIRGARA BARREN
61;01;01129;BIRGARA GOIEN
62;01;01129;CICUJANO
63;01;01129;ELORTZA
64;01;01129;ERROETA
65;01;01129;ERROITEGI
66;01;01129;IBISATE
67;01;01129;KORRES
68;01;01129;LEORZA
69;01;01129;MUSITU
70;01;01129;ONRAITA
71;01;01129;ROITEGUI
72;01;01129;SABANDO
