codProvincia;nomProvincia
_____________;____________
01;Alava
02;Albacete
03;Alicante
04;Almería
33;Asturias
05;Avila
06;Badajoz
07;Baleares
08;Barcelona
09;Burgos
10;Cáceres
11;Cádiz
39;Cantabria
12;Castellón
51;Ceuta
13;Ciudad Real
14;Córdoba
15;Coruña, La
16;Cuenca
17;Gerona
18;Granada
19;Guadalajara
20;Guipuzcoa
21;Huelva
22;Huesca
23;Jaen
24;León
25;Lérida
27;Lugo
28;Madrid
29;Málaga
52;Melilla
30;Murcia
31;Navarra
32;Orense
34;Palencia
35;Palmas (Las)
36;Pontevedra
26;Rioja (La)
37;Salamanca
38;S.C.Tenerife
40;Segovia
41;Sevilla
42;Soria
43;Tarragona
44;Teruel
45;Toledo
46;Valencia
47;Valladolid
48;Vizcaya
49;Zamora
50;Zaragoza
